TissueType	Genotype	IsHybrid	IsChk	LibBatch	ttlQCReads	percMapped	ttlQCReads.rsem	ttlMapped.rsem	percMapped.rsem	lastdaymm2	sizeclass
run125_SigHeterosis_Batch1_S312_merge_R1	S	p6188	Inbred	0	d	6922950	93.2550430091218	5546196	5079246	91.5807158636298	86.084375	3
run125_SigHeterosis_Batch1_S314_merge_R1	S	p9745	Inbred	0	d	4994528	92.4486157650933	4187550	3810394	90.993397093766	72.90765625	3
run125_SigHeterosis_Batch1_S317_merge_R1	S	rd032	Hybrid	0	d	4811762	91.48856489577	3963728	3554178	89.6675553922974	9.53265625	1
run125_SigHeterosis_Batch1_S318_merge_R1	S	p5253	Inbred	0	d	7192698	93.6552042084903	5800762	5344400	92.1327232525658	103.5125	4
run125_SigHeterosis_Batch1_S319_merge_R1	S	p7092	Inbred	0	d	7185929	92.7024049360911	5911124	5386724	91.1285907722457	50.5415625	2
run125_SigHeterosis_Batch1_S320_merge_R1	S	rd327	Hybrid	0	d	7271968	93.6039872562695	5960769	5495653	92.197047058861	64.98578125	3
run125_SigHeterosis_Batch1_S324_merge_R1	S	rd197	Hybrid	0	d	8620072	93.8185899143302	7047374	6514532	92.4391411609488	101.294375	4
run125_SigHeterosis_Batch1_S330_merge_R1	S	p6974	Inbred	0	d	8125068	92.7941156923241	6485340	5899857	90.9722080877795	83.36453125	3
run125_SigHeterosis_Batch1_S331_merge_R1	S	p7025	Inbred	0	d	7412816	92.267270629677	5888494	5315281	90.2655415799014	30.0503125	2
run125_SigHeterosis_Batch1_S332_merge_R1	S	rd107	Hybrid	0	d	8531257	92.8305406811681	6834310	6222665	91.0503767022567	62.37156	3
run125_SigHeterosis_Batch1_S333_merge_R1	S	p7268	Inbred	0	d	5397840	92.3555533324441	4445276	4032641	90.7174492652425	86.95578125	3
run125_SigHeterosis_Batch1_S334_merge_R1	S	rd147	Hybrid	0	d	7508577	93.4095634898597	6164243	5669395	91.9722827279846	82.2290625	3
run125_SigHeterosis_Batch1_S335_merge_R1	S	p9798	Inbred	0	d	9147052	92.6014304936716	7470602	6793851	90.9411450375753	69.3428125	3
run125_SigHeterosis_Batch1_S338_merge_R1	S	p7063	Inbred	0	d	7261485	91.9034054329108	5857372	5269439	89.9625121983033	43.5175	2
run125_SigHeterosis_Batch1_S339_merge_R1	S	rd337	Hybrid	0	d	6087272	93.3044391642102	4945288	4537711	91.7582757566394	133.16671875	4
run125_SigHeterosis_Batch1_S341_merge_R1	S	rd279	Hybrid	0	d	4866861	91.9540747105783	4021973	3630389	90.2638829251216	72.64359375	3
run125_SigHeterosis_Batch1_S342_merge_R1	S	rd193	Hybrid	0	d	6155913	90.3574173319214	4966458	4372869	88.0480414814743	158.86	5
run125_SigHeterosis_Batch1_S345_merge_R1	S	rd142	Hybrid	0	d	8373883	93.8855128498929	6729595	6217575	92.3915183603174	139.4778	4
run125_SigHeterosis_Batch1_S346_merge_R1	S	p7062	Inbred	0	d	8863312	93.3844368786747	6925794	6339436	91.5337071821657	21.97	1
run125_SigHeterosis_Batch1_S347_merge_R1	S	rd398	Hybrid	0	d	5427977	92.3582395430194	4268542	3853749	90.2825601809705	132.03125	4
run125_SigHeterosis_Batch1_S351_merge_R1	S	p768	Inbred	0	d	5406171	86.6742468930413	4243701	3523288	83.0239453722117	3.98734375	1
run125_SigHeterosis_Batch1_S353_merge_R1	S	p7003	Inbred	0	d	8031941	87.8029482537285	6105963	5126303	83.9556839764669	95.30015625	4
run125_SigHeterosis_Batch1_S357_merge_R1	S	rd530	Hybrid	0	e	8049928	91.8195293175293	6245804	5587282	89.4565695625415	253.5528125	6
run125_SigHeterosis_Batch1_S358_merge_R1	S	p9914	Inbred	0	e	5250367	90.3062014522033	4173124	3664164	87.8038610882399	85.26578125	3
run125_SigHeterosis_Batch1_S361_merge_R1	S	p9560	Inbred	0	e	7503466	88.9148561478122	5593762	4761992	85.1304006141126	150.8325	5
run125_SigHeterosis_Batch1_S363_merge_R1	S	p8366	Inbred	0	e	7967325	86.0190841970172	5875832	4761927	81.0425995841951	235.8078125	6
run125_SigHeterosis_Batch1_S364_merge_R1	S	p6987	Inbred	0	e	8862370	90.0346972649528	6986471	6103309	87.3589684978296	61.81703125	3
run125_SigHeterosis_Batch1_S365_merge_R1	S	p9402	Inbred	0	e	6169064	91.2660818561779	4994450	4455649	89.2120053259118	111.1703125	4
run125_SigHeterosis_Batch1_S366_merge_R1	S	p9733	Inbred	0	e	6920558	90.1798958985677	5576220	4896614	87.8124249043259	124.2678125	4
run125_SigHeterosis_Batch1_S370_merge_R1	S	p9814	Inbred	0	e	9483916	91.97176567148	7536047	6774656	89.8966792537255	83.126875	3
run125_SigHeterosis_Batch1_S372_merge_R1	S	p6903	Inbred	0	e	9751215	88.9385374027749	7474748	6396121	85.5697208788845	202.08703125	6
run125_SigHeterosis_Batch1_S374_merge_R1	S	p9565	Inbred	0	e	5628423	83.781354031138	4157806	3244952	78.0448149817476	70.79515625	3
run125_SigHeterosis_Batch1_S376_merge_R1	S	p9534	Inbred	0	e	9759330	83.1748183533091	7037067	5395042	76.6660598797766	75.521875	3
run125_SigHeterosis_Batch1_S378_merge_R1	S	rd426	Hybrid	0	e	8764098	86.0167355499676	6495732	5270225	81.1336582235843	115.0784375	4
run125_SigHeterosis_Batch1_S379_merge_R1	S	rd191	Hybrid	0	e	10167676	83.8379291393628	7250882	5607575	77.3364536893581	105.86265625	4
run125_SigHeterosis_Batch1_S381_merge_R1	S	p7372	Inbred	0	e	7271929	87.8967465166395	5521043	4640903	84.0584469275099	124.71671875	4
run125_SigHeterosis_Batch1_S385_merge_R1	S	p9768	Inbred	0	e	8732819	85.4813548752127	6330431	5062544	79.9715532797056	52.7596875	2
run125_SigHeterosis_Batch1_S388_merge_R1	S	p9521	Inbred	0	e	9426870	87.178809085094	6668186	5459549	81.8745757841788	62.6884375	3
run125_SigHeterosis_Batch1_S390_merge_R1	S	p9736	Inbred	0	e	9259907	85.9398047950158	6371267	5069306	79.5651163261562	86.69171875	3
run125_SigHeterosis_Batch1_S392_merge_R1	S	p7127	Inbred	0	e	9667318	83.980955214259	6853002	5304390	77.402428891747	40.454375	2
run125_SigHeterosis_Batch1_S402_merge_R1	S	rd386	Hybrid	0	e	6562948	86.6316021397701	4838019	3960658	81.8652841173216	124.45265625	4
run125_SigHeterosis_Batch1_S403_merge_R1	S	rd140	Hybrid	0	e	6398557	85.8808321938837	4722728	3819305	80.8707382682212	77.34390625	3
run125_SigHeterosis_Batch1_S404_merge_R1	S	rd230	Hybrid	0	e	6171068	86.2664290848845	4653245	3805737	81.7867316249198	59.78375	2
run125_SigHeterosis_Batch1_S405_merge_R1	S	p6244	Inbred	0	e	6571640	89.7269631324905	5204261	4529154	87.0278027946715	35.384375	2
run125_SigHeterosis_Batch1_S406_merge_R1	S	rd434	Hybrid	0	e	7086320	89.5015607536775	5389876	4645923	86.1972149266514	74.7825	3
run125_SigHeterosis_Batch1_S408_merge_R1	S	p9776	Inbred	0	e	7555283	88.7139634610643	5897965	5045273	85.5426066448343	27.11921875	1
run125_SigHeterosis_Batch1_S414_merge_R1	S	rd027	Hybrid	0	e	9129614	88.3968259775276	6890277	5830952	84.6257995143011	163.69234375	5
run125_SigHeterosis_Batch1_S417_merge_R1	S	rd244	Hybrid	0	e	9363420	90.5200984255753	7501709	6614066	88.1674562423043	66.0684375	3
run125_SigHeterosis_Batch1_S418_merge_R1	S	p6390	Inbred	0	e	7705228	92.2880153578843	6418142	5823916	90.7414638068151	53.0765625	2
run125_SigHeterosis_Batch1_S420_merge_R1	S	rd430	Hybrid	0	e	6146567	90.2253241524903	4761205	4160398	87.3811986671441	254.68828125	6
run125_SigHeterosis_Batch1_S424_merge_R1	S	rd199	Hybrid	0	e	8045329	88.3211115418649	6413882	5474277	85.3504476696016	51.25453125	2
run125_SigHeterosis_Batch1_S425_merge_R1	S	p9986	Inbred	0	e	5421276	88.9110976825382	4122288	3521128	85.4168364752778	126.72359375	4
run125_SigHeterosis_Batch1_S428_merge_R1	S	rd171	Hybrid	0	e	7871385	91.7050684218851	6308815	5655889	89.6505762175622	141.51109375	5
run125_SigHeterosis_Batch1_S430_merge_R1	S	rd130	Hybrid	0	e	8525086	84.6114748871742	6289410	4977525	79.1413662012812	184.84375	5
run125_SigHeterosis_Batch1_S434_merge_R1	S	p7328	Inbred	0	e	4425889	91.9818594637145	3503588	3148714	89.8711263995652	144.1253125	5
run125_SigHeterosis_Batch1_S436_merge_R1	S	p9511	Inbred	0	e	7097846	71.967284159166	5232400	3242681	61.9731098539867	44.3096875	2
run125_SigHeterosis_Batch1_S437_merge_R1	S	p7273	Inbred	0	e	6509145	86.6316236617866	4816584	3946417	81.9339390738332	90.2565625	4
run125_SigHeterosis_Batch1_S442_merge_R1	S	p6915	Inbred	0	e	4201172	92.6625474986504	3425126	3116867	91.0000683186546	54.37046875	2
run125_SigHeterosis_Batch1_S97seqtk_merge_R1	S	rd116	Hybrid	0	b	7000000	88.56	7000000	5991722	85.5960285714286	84.394375	3
