Genotype	Trio	IsHybrid	Treatment	Replicate	Tray	Potpos	PlantBatch	LibBatch	ttlReads	ttlMapped	percMapped	Day13mpp
S127	p9640	32M	Inbred	Mock	R1	T9	9E4	A	b	2723741	2493829	0.915589624711013	76.49890625
S128	p7177	34M	Inbred	Mock	R1	T9	9C8	A	b	2595495	2358673	0.908756518506104	125.82578125
S129	p10015	27F	Inbred	Mock	R2	T10	10E5	A	b	4029112	3694497	0.916950682929638	86.05796875
S130	rd132	2H	Hybrid	Mock	R2	T10	10C7	A	b	3682216	3367477	0.914524568900901	78.08328125
S131	p7373	22M	Inbred	Mock	R2	T10	10B1	A	b	2379891	2147132	0.902197621655782	45.8940625
S132	p5644	24F	Inbred	Mock	R2	T10	10D8	A	b	4226398	3879731	0.917975779848467	40.05828125
S133	p5874	22F	Inbred	Mock	R2	T10	10C1	A	b	3124240	2830286	0.905911837758943	65.46109375
S134	p6390	8F	Inbred	Mock	R2	T10	10A3	A	b	3803380	3453828	0.908094379210071	104.4103125
S135	p5893	5F	Inbred	Mock	R2	T10	10A2	A	b	3248834	2950753	0.908249852100784	120.28046875
S137	p9521	2F	Inbred	Mock	R2	T10	10A7	A	b	3900613	3515552	0.901281926712545	79.03390625
S138	rd208	22H	Hybrid	Mock	R2	T10	10F1	A	b	3811429	3429078	0.899683032269524	84.9753125
S139	p10011	27M	Inbred	Mock	R2	T10	10C5	A	b	4091996	3760271	0.918933205213299	66.14765625
S140	p5890	10F	Inbred	Mock	R2	T10	10F9	A	b	2800910	2535096	0.905097271958042	77.3175
S141	p6975	9M	Inbred	Mock	R2	T10	10E6	A	b	3608961	3333357	0.923633422472562	155.0046875
S142	p7111	14F	Inbred	Mock	R2	T10	10E4	A	b	4049999	3717699	0.917950597024839	64.82734375
S143	rd199	9H	Hybrid	Mock	R2	T10	10D6	A	b	3318585	3032333	0.913742754818695	106.575625
S145	rd385	14H	Hybrid	Mock	R2	T10	10C4	A	b	2945236	2674667	0.908133338041502	155.45359375
S146	rd207	5H	Hybrid	Mock	R2	T10	10E2	A	b	3839430	3507853	0.913639003706279	144.600625
S147	p9560	10M	Inbred	Mock	R2	T10	10A9	A	b	4306810	3910816	0.90805398891523	82.62515625
S148	rd545	27H	Hybrid	Mock	R2	T10	10B5	A	b	4391641	4016452	0.914567470337398	102.1921875
S149	rd196	8H	Hybrid	Mock	R2	T10	10C3	A	b	3003895	2741709	0.91271798781249	77.4759375
S150	p6918	5M	Inbred	Mock	R2	T10	10C2	A	b	3795905	3402477	0.896354624259564	41.74828125
S151	p6958	2M	Inbred	Mock	R2	T10	10E7	A	b	4002014	3621898	0.905018823022608	90.2565625
S152	p7276	24M	Inbred	Mock	R2	T10	10E8	A	b	3665593	3317440	0.905021370348536	163.16421875
S153	p9640	32M	Inbred	BTH	R2	T13	13B2	A	b	4859758	4375255	0.90030306035815	22.20765625
S154	rd181	1H	Hybrid	BTH	R2	T13	13C1	A	b	4145689	3746799	0.90378197689214	58.33140625
S155	rd545	27H	Hybrid	BTH	R2	T13	13F6	A	b	4534157	4139111	0.912873330147148	63.77109375
S156	p7320	1M	Inbred	BTH	R2	T13	13B1	A	b	3840610	3344144	0.870732513845457	34.750625
S157	p159	9F	Inbred	BTH	R2	T13	13B7	A	b	3388643	3042144	0.897746974231278	38.7115625
S158	p7111	14F	Inbred	BTH	R2	T13	13F8	A	b	3804740	3427821	0.900934360823604	67.916875
S159	p6188	8M	Inbred	Mock	R2	T10	10E3	A	b	3708503	3290929	0.887400927004778	59.28203125
S160	rd206	10H	Hybrid	Mock	R2	T10	10D9	A	b	2914601	2611049	0.895851267463368	102.2978125
S161	p9914	32F	Inbred	BTH	R2	T13	13D2	A	b	4131855	3715414	0.899212097229937	53.89515625
S162	rd199	9H	Hybrid	BTH	R2	T13	13D7	A	b	3664808	3359903	0.916801917044495	63.480625
S163	p9560	10M	Inbred	BTH	R2	T13	13A4	A	b	3540644	3225993	0.911131703723955	59.49328125
S164	rd244	35H	Hybrid	BTH	R2	T13	13A5	A	b	3509239	3156125	0.899375904576462	116.0290625
S165	p9649	14M	Inbred	BTH	R2	T13	13C8	A	b	2621315	2330932	0.889222394103723	48.24421875
S166	p10015	27F	Inbred	BTH	R2	T13	13D6	A	b	3738960	3297274	0.881869289856003	42.144375
S167	rd337	32H	Hybrid	BTH	R2	T13	13E2	A	b	2333180	2047205	0.877431231195193	36.1765625
S168	p5907	34F	Inbred	BTH	R2	T13	13D3	A	b	2692448	2429449	0.902319747679435	53.551875
S169	rd187	40H	Hybrid	BTH	R2	T13	13F10	A	b	3596814	3286895	0.913835132981578	98.41609375
S170	p7177	34M	Inbred	BTH	R2	T13	13E3	A	b	3433565	3141545	0.914951369786213	32.004375
S171	p10011	27M	Inbred	BTH	R2	T13	13A6	A	b	3936381	3604747	0.915751549456214	87.0878125
S172	rd206	10H	Hybrid	BTH	R2	T13	13F4	A	b	4757414	4373155	0.919229438514285	112.068125
S173	p7372	1F	Inbred	BTH	R2	T13	13E1	A	b	3111461	2871432	0.922856497317498	48.5875
S174	p6975	9M	Inbred	BTH	R2	T13	13E7	A	b	3528544	3213244	0.910643030099667	58.199375
S175	p9928	40F	Inbred	BTH	R2	T13	13A10	A	b	2427234	2196371	0.904886385078653	66.7021875
S176	rd205	34H	Hybrid	BTH	R2	T13	13B3	A	b	4466226	4071676	0.911659195034017	70.58390625
S177	p7276	24M	Inbred	BTH	R2	T15	15D10	A	b	4848491	4425338	0.912724804480404	91.76171875
S178	p9559	38M	Inbred	BTH	R2	T15	15E8	A	b	4534580	4095861	0.903250356152058	96.09234375
S179	p7192	38F	Inbred	BTH	R2	T15	15A8	A	b	3992976	3628454	0.908709193343511	67.705625
S180	p5893	5F	Inbred	BTH	R2	T15	15C3	A	b	4002591	3588332	0.896502290641237	54.7665625
S181	p7202	40M	Inbred	BTH	R2	T13	13C10	A	b	3352511	3080830	0.918961936291932	70.34625
S182	p9565	35F	Inbred	BTH	R2	T13	13E5	A	b	4443072	4023725	0.905617779770393	46.55421875
S183	rd132	2H	Hybrid	BTH	R2	T13	13B9	A	b	3161679	2784685	0.880761456175659	8.21234375
S184	p6958	2M	Inbred	BTH	R2	T13	13C9	A	b	4026945	3698527	0.918444875706025	81.93859375
S185	rd196	8H	Hybrid	BTH	R2	T15	15A6	A	b	3648305	3226996	0.884519249350041	52.6540625
S186	rd085	21H	Hybrid	BTH	R2	T15	15C9	A	b	3546485	3147420	0.887475909245351	39.37171875
S188	rd485	23H	Hybrid	BTH	R2	T15	15C4	A	b	4444449	3999306	0.899842927660999	112.701875
S189	p5874	22F	Inbred	BTH	R2	T15	15B7	A	b	3532334	3183033	0.90111325825927	36.36140625
S190	p7058	3M	Inbred	BTH	R2	T15	15F5	A	b	3797330	3330355	0.877025436293396	41.510625
S191	p7373	22M	Inbred	BTH	R2	T15	15D7	A	b	3212840	2702624	0.841194706241207	41.9859375
S193	p8376	23M	Inbred	BTH	R2	T15	15E4	A	c	4762575	4170571	0.875696655695711	34.03765625
S194	rd107	38H	Hybrid	BTH	R2	T15	15C8	A	c	3990468	3467613	0.868974015077931	55.2946875
S195	rd241	18H	Hybrid	BTH	R2	T15	15F2	A	c	3941119	3492214	0.886097070400564	94.08546875
S196	p7319	21F	Inbred	BTH	R2	T15	15E9	A	c	4767147	4237927	0.888986011969004	53.974375
S200	p9579	18F	Inbred	BTH	R2	T15	15C2	A	c	4247564	3586252	0.844307937443674	53.94796875
S201	p7158	6F	Inbred	BTH	R2	T15	15C1	A	c	3645233	3290238	0.902613906984821	52.0203125
S202	p6188	8M	Inbred	BTH	R2	T15	15C6	A	c	3314279	2878632	0.868554518192343	26.53828125
S203	rd226	6H	Hybrid	BTH	R2	T15	15B1	A	c	3407342	2999850	0.880407660868795	32.61171875
S204	rd085	21H	Hybrid	Mock	R2	T18	18C10	A	c	3701528	3318950	0.896643224095563	66.96625
S205	p5907	34F	Inbred	Mock	R2	T18	18C5	A	c	3382283	3041063	0.89911547910095	50.35671875
S206	p9814	18M	Inbred	Mock	R2	T18	18D2	A	c	3310045	3002905	0.907209720713767	63.2165625
S207	rd244	35H	Hybrid	Mock	R2	T18	18B4	A	c	2945362	2666983	0.905485641493304	106.8925
S208	p9559	38M	Inbred	Mock	R2	T18	18C7	A	c	3016923	2734694	0.906451374463319	94.745625
S209	p7207	35M	Inbred	Mock	R2	T18	18F4	A	c	4414240	3988847	0.903631655732357	133.69484375
S210	p5950	6M	Inbred	Mock	R2	T18	18B3	A	c	4048034	3659516	0.90402303933218	104.56875
S211	rd181	1H	Hybrid	Mock	R2	T18	18B8	A	c	3992288	3634739	0.910440078471293	105.44015625
S212	p7158	6F	Inbred	Mock	R2	T18	18C3	A	c	4119413	3667189	0.890221252396883	41.933125
S213	p7177	34M	Inbred	Mock	R2	T18	18E5	A	c	3748025	3373879	0.90017515891703	74.4128125
S214	p9130	23F	Inbred	Mock	R2	T18	18B1	A	c	4663812	4113463	0.881995886626648	72.1946875
S215	rd226	6H	Hybrid	Mock	R2	T18	18F3	A	c	3621050	3244942	0.896132889631461	67.0190625
S216	p108	21M	Inbred	Mock	R2	T18	18F10	A	c	4319798	3873734	0.896739616065381	44.785
S217	p7320	1M	Inbred	Mock	R2	T18	18C8	A	c	4766758	4309005	0.903969742118228	41.0353125
S218	rd187	40H	Hybrid	Mock	R2	T18	18A9	A	c	4106464	3723742	0.906800108317034	126.77640625
S219	rd485	23H	Hybrid	Mock	R2	T18	18D1	A	c	3853785	3464224	0.898914703337109	40.63921875
S220	p7192	38F	Inbred	Mock	R2	T18	18A7	A	c	4362257	3949833	0.90545628100316	75.83875
S221	p7058	3M	Inbred	Mock	R2	T18	18B6	A	c	4350223	3913078	0.899512048003056	95.69625
S222	rd107	38H	Hybrid	Mock	R2	T18	18E7	A	c	2833419	2578717	0.91010789438484	154.29171875
S223	p9565	35F	Inbred	Mock	R2	T18	18C4	A	c	2737300	2436505	0.890112519636138	27.5153125
S224	p7372	1F	Inbred	Mock	R2	T18	18F8	A	c	3693054	3351334	0.907469536053359	95.35296875
S225	p7319	21F	Inbred	Mock	R2	T18	18B10	A	c	4073412	3691629	0.906274396010028	123.13234375
S226	p9928	40F	Inbred	Mock	R2	T18	18F9	A	c	4251760	3850755	0.905684939883719	94.40234375
S227	rd161	3H	Hybrid	Mock	R2	T18	18F6	A	c	3988188	3561052	0.892899732911287	45.101875
S229	rd205	34H	Hybrid	Mock	R2	T18	18B5	A	c	2771435	2483988	0.896282250891686	96.435625
S230	p9579	18F	Inbred	Mock	R2	T18	18F2	A	c	3987240	3632774	0.911099908708781	117.138125
S231	rd241	18H	Hybrid	Mock	R2	T18	18A2	A	c	3201091	2893115	0.903790301494084	94.24390625
S232	p7202	40M	Inbred	Mock	R2	T18	18C9	A	c	3220455	2926199	0.908629060179385	92.65953125
S233	p8376	23M	Inbred	Mock	R2	T18	18F1	A	c	4422691	3995515	0.90341265080468	79.6940625
S234	rd132	2H	Hybrid	Mock	R3	T19	19A2	A	c	4007304	3653808	0.911787076797767	146.0265625
S235	p6390	8F	Inbred	Mock	R3	T19	19B1	A	c	3681638	3342704	0.90793934656259	121.04625
S236	rd187	40H	Hybrid	Mock	R3	T19	19B7	A	c	4178901	3853985	0.92224845719006	181.59578125
S237	p7202	40M	Inbred	Mock	R3	T19	19C7	A	c	3516699	3243322	0.922263179191623	178.74390625
S238	p159	9F	Inbred	Mock	R3	T19	19F10	A	c	3486413	3167628	0.90856361538349	99.57796875
S239	p6975	9M	Inbred	Mock	R3	T19	19D10	A	c	2944902	2684068	0.911428631580949	172.59125
S240	rd241	18H	Hybrid	Mock	R3	T19	19E3	A	c	3641826	3333184	0.915250756076759	115.21046875
S241	rd485	23H	Hybrid	Mock	R3	T19	19F9	A	c	5304570	4868143	0.917726224745832	203.85625
S242	p8376	23M	Inbred	Mock	R3	T19	19C9	A	c	4306691	3926938	0.911822557039732	138.44796875
S243	rd208	22H	Hybrid	Mock	R3	T19	19B4	A	c	4329465	3966931	0.916263556813602	114.36546875
S244	rd196	8H	Hybrid	Mock	R3	T19	19E1	A	c	5524021	5035816	0.911621443872136	127.278125
S245	p9579	18F	Inbred	Mock	R3	T19	19D3	A	c	2288436	2093288	0.914724292049242	112.2265625
S246	p9640	32M	Inbred	Mock	R3	T19	19E5	A	c	4409850	4001126	0.90731566833339	64.93296875
S247	p9130	23F	Inbred	Mock	R3	T19	19A9	A	c	2300940	2103675	0.914267647135519	132.981875
S248	rd337	32H	Hybrid	Mock	R3	T19	19A5	A	c	3971130	3607151	0.908343720804909	124.6903125
S249	p6188	8M	Inbred	Mock	R3	T19	19C1	A	c	4187358	3741008	0.89340534055125	94.40234375
S250	rd161	3H	Hybrid	Mock	R3	T19	19B6	A	c	4218113	3839373	0.910211035124	98.3896875
S251	p9928	40F	Inbred	Mock	R3	T19	19F7	A	c	3891766	3555299	0.913543876995688	72.986875
S252	p8247	3F	Inbred	Mock	R3	T19	19E6	A	c	3364813	2977257	0.88482093952918	69.29
S254	p9914	32F	Inbred	Mock	R3	T19	19C5	A	c	4142155	3757315	0.90709183987562	100.0796875
S255	rd199	9H	Hybrid	Mock	R3	T19	19B10	A	c	3539203	3233534	0.91363338017062	155.0575
S256	p6958	2M	Inbred	Mock	R3	T19	19C2	A	c	3562230	3233032	0.907586539892146	136.12421875
S257	p9559	38M	Inbred	Mock	R3	T19	19C8	A	c	3909147	3571697	0.913676820032606	164.3525
S258	p5874	22F	Inbred	Mock	R3	T19	19D4	A	c	3257240	2954547	0.907070710171802	66.1740625
S259	p7192	38F	Inbred	Mock	R3	T19	19A8	A	c	4106726	3749080	0.912912134873376	112.6490625
S260	p7058	3M	Inbred	Mock	R3	T19	19C6	A	c	3004601	2739983	0.911929071447424	98.336875
S262	p9814	18M	Inbred	Mock	R3	T19	19B3	A	c	2724357	2444520	0.897283285560593	109.03140625
S264	p7276	24M	Inbred	BTH	R3	T22	22D7	A	c	4652234	4098818	0.881042956996574	54.89859375
S265	p7320	1M	Inbred	BTH	R3	T22	22A2	A	c	3398735	2978303	0.876297504806935	33.45671875
S266	rd485	23H	Hybrid	BTH	R3	T22	22F3	A	c	3468284	3156557	0.91012068215867	95.14171875
S267	p10015	27F	Inbred	BTH	R3	T22	22F6	A	c	3872529	3433423	0.88661001634849	49.6965625
S268	p5893	5F	Inbred	BTH	R3	T22	22C4	A	c	3655237	3322578	0.908991126977539	107.8959375
S269	rd132	2H	Hybrid	BTH	R3	T22	22C9	A	c	2806859	2544371	0.906483368063732	82.704375
S270	rd193	24H	Hybrid	BTH	R3	T22	22A7	A	c	4086862	3681806	0.900888260968929	84.42078125
S271	rd181	1H	Hybrid	BTH	R3	T22	22C2	A	c	2468825	2221350	0.899760007290918	68.65625
S272	p7319	21F	Inbred	BTH	R3	T22	22B5	A	c	3121393	2809874	0.900198725376779	55.4003125
S273	rd545	27H	Hybrid	BTH	R3	T22	22A6	A	c	4095016	3694714	0.902246535788871	104.80640625
S274	p7202	40M	Inbred	BTH	R3	T22	22A8	A	c	4497710	4049675	0.900385974195757	102.32421875
S275	p159	9F	Inbred	BTH	R3	T22	22A1	A	c	3118618	2811307	0.901459236110354	38.20984375
S276	p8376	23M	Inbred	BTH	R3	T22	22D3	A	c	3809018	3446170	0.904739751820548	64.6953125
S277	p108	21M	Inbred	BTH	R3	T22	22F5	A	c	3354231	3048120	0.908738843568019	60.86640625
S278	rd207	5H	Hybrid	BTH	R3	T22	22E4	A	c	3202054	2881582	0.899916740941908	145.84171875
S279	p9130	23F	Inbred	BTH	R3	T22	22A3	A	c	2899235	2621766	0.90429578837176	78.82265625
S280	p6958	2M	Inbred	BTH	R3	T22	22B9	A	c	3738494	3390775	0.906989552477548	100.8190625
S281	rd085	21H	Hybrid	BTH	R3	T22	22C5	A	c	3739845	3319396	0.887575821992623	58.33140625
S282	p10011	27M	Inbred	BTH	R3	T22	22C6	A	c	5919402	5276715	0.891427039420536	84.9753125
S283	p9928	40F	Inbred	BTH	R3	T22	22E8	A	c	3105293	2813504	0.906034953867477	68.8675
S284	rd206	10H	Hybrid	BTH	R3	T22	22D10	A	c	3321442	2971287	0.894577415471955	37.81375
S286	rd187	40H	Hybrid	BTH	R3	T22	22D8	A	c	2680353	2434953	0.90844489513135	66.2796875
S288	rd244	35H	Hybrid	BTH	R3	T24	24C8	A	c	4452946	4011012	0.900754691388577	58.410625
S289	rd205	34H	Hybrid	BTH	R3	T24	24F2	A	d	2620272	2328911	0.888805055353032	50.2246875
S290	rd337	32H	Hybrid	BTH	R3	T24	24D7	A	d	3766142	3374932	0.896124469018959	53.10296875
S291	p7373	22M	Inbred	BTH	R3	T24	24B9	A	d	4220119	3823868	0.906104306537328	66.12125
S292	p6188	8M	Inbred	BTH	R3	T24	24E10	A	d	4026051	3643489	0.904978352236472	48.29703125
S293	p6390	8F	Inbred	BTH	R3	T24	24D10	A	d	4191088	3816342	0.910585031858076	59.9421875
S294	p9565	35F	Inbred	BTH	R3	T24	24A8	A	d	4522552	4096556	0.905806279286562	16.0021875
S295	p7158	6F	Inbred	BTH	R3	T24	24F5	A	d	4551696	4118230	0.904768244627936	107.28859375
S296	p7058	3M	Inbred	BTH	R3	T24	24C4	A	d	6834933	6201191	0.907278974058707	85.7146875
S297	p9559	38M	Inbred	BTH	R3	T24	24A3	A	d	3939141	3592604	0.912027266858434	82.493125
S298	rd208	22H	Hybrid	BTH	R3	T24	24D9	A	d	3682996	3298734	0.895665919810937	48.0065625
S299	rd196	8H	Hybrid	BTH	R3	T24	24A10	A	d	4565862	4050735	0.887178587526298	70.42546875
S300	p8247	3F	Inbred	BTH	R3	T24	24F4	A	d	4586866	4193220	0.914179747130176	95.08890625
S301	rd241	18H	Hybrid	BTH	R3	T24	24A1	A	d	4669338	4252910	0.910816479766511	37.20640625
S302	p5907	34F	Inbred	BTH	R3	T24	24D2	A	d	4305487	3912189	0.908651913244657	58.59546875
S303	p9814	18M	Inbred	BTH	R3	T24	24D1	A	d	4914662	4469484	0.909418389301238	54.9778125
S304	p9579	18F	Inbred	BTH	R3	T24	24E1	A	d	4319186	3908081	0.904818870963186	54.63453125
