Genotype	Trio	IsHybrid	Treatment	Replicate	Tray	Potpos	PlantBatch	LibBatch	ttlReads	ttlMapped	percMapped	Day13mpp
S569	p9699	49M	Inbred	BTH	R3	T39	39F4	B	h	3531706	3204841	0.907448411617502	179.48328125
S570	p8334	48F	Inbred	BTH	R3	T39	39E2	B	h	3066037	2756769	0.899131028099139	80.6975
S571	p9770	44F	Inbred	BTH	R3	T39	39A10	B	h	3503834	3132496	0.89401952261437	79.958125
S572	SH108	44H	Hybrid	BTH	R3	T39	39D10	B	h	2699656	2419142	0.896092687364612	147.42609375
S573	SH73	48H	Hybrid	BTH	R3	T39	39A2	B	h	3516052	3156978	0.897875799334026	139.76828125
S574	p7404	49F	Inbred	BTH	R3	T39	39C4	B	h	3247453	2928479	0.901777177375623	176.15609375
S575	p6911	44M	Inbred	BTH	R3	T39	39F10	B	h	4467068	3980222	0.89101441930143	141.5903125
S576	p6967	48M	Inbred	BTH	R3	T39	39C2	B	h	2687695	2407878	0.895889600568517	49.45890625
S353seqtk374	p5644	24F	Inbred	BTH	R1	T3	3A8	A	d	9093217	8046904	0.884934781606993	11.5659375
S403seqtk604	p9409	41M	Inbred	Mock	R1	T28	28B2	B	g	6932173	6366855	0.918450102154115	88.619375
S405seqtk662	SH170	41H	Hybrid	Mock	R1	T28	28E2	B	g	6830972	6253092	0.915402961686858	162.1871875
S406seqtk121	p6967	48M	Inbred	Mock	R1	T29	29A5	B	g	7186701	6616146	0.920609609332571	85.95234375
S407seqtk367	p6150	50M	Inbred	Mock	R1	T29	29C3	B	g	6929487	6341998	0.915218976527411	156.66828125
S411seqtk846	p6940	53F	Inbred	Mock	R1	T29	29B8	B	g	8339476	7648021	0.917086517186452	129.601875
S414seqtk660	SH67	49H	Hybrid	Mock	R1	T29	29C4	B	g	8374179	7735377	0.923717656381599	226.3015625
S416seqtk857	p428	50F	Inbred	Mock	R1	T29	29E3	B	g	7881140	7289705	0.924955653623714	217.03296875
S435seqtk112	SH172	43H	Hybrid	BTH	R1	T30	30C4	B	g	7228388	6625015	0.916527308716688	71.48171875
S436seqtk458	p7404	49F	Inbred	BTH	R1	T30	30B6	B	g	6907043	6366817	0.921786211552469	114.15421875
S437seqtk996	p9770	44F	Inbred	BTH	R1	T30	30E2	B	g	7055441	6448200	0.913932949053078	68.89390625
S443seqtk909	SH3	50H	Hybrid	BTH	R1	T31	31F1	B	g	7283043	6676426	0.916708304482069	134.64546875
S450seqtk514	p428	50F	Inbred	BTH	R1	T31	31D1	B	g	6994506	6337735	0.906101874814319	131.9784375
S453seqtk302	SH86	47H	Hybrid	BTH	R1	T31	31A8	B	g	7198425	6569561	0.91263866748629	177.05390625
S467seqtk698	SH158	59H	Hybrid	BTH	R3	T37	37E7	B	g	7685483	7028478	0.914513505527239	206.9721875
S470seqtk298	p9725	47M	Inbred	BTH	R3	T37	37A4	B	g	7064681	6430921	0.910291773966864	80.88234375
S471seqtk811	p9455	47F	Inbred	BTH	R3	T37	37C4	B	g	6852010	6221408	0.907968318785291	70.79515625
S487seqtk477	p6108	59F	Inbred	BTH	R2	T32	32E9	B	h	7936909	7136829	0.899195014079158	101.716875
